label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
HELLO,0.3415178060531616,0.8674483299255371,6.34296384305344e-07,0.41731879115104675,0.8218994736671448,-0.03220033273100853,0.46468421816825867,0.7271141409873962,-0.04331757873296738,0.4985867142677307,0.6447809934616089,-0.05070614442229271,0.5347052216529846,0.5976054668426514,-0.057987894862890244,0.4135596752166748,0.6034995913505554,-0.0331093966960907,0.4442710280418396,0.5033583641052246,-0.04987935349345207,0.4620533287525177,0.4348996877670288,-0.061670415103435516,0.4748520851135254,0.3806236982345581,-0.07132725417613983,0.361632764339447,0.5893251895904541,-0.032719776034355164,0.3723141551017761,0.48093846440315247,-0.04533781856298447,0.38030359148979187,0.41063934564590454,-0.054280929267406464,0.3856727182865143,0.3516477048397064,-0.06137773394584656,0.31295913457870483,0.6035642623901367,-0.036718521267175674,0.30092138051986694,0.5009715557098389,-0.05699927359819412,0.29655560851097107,0.4289567768573761,-0.07517662644386292,0.2939556837081909,0.37334805727005005,-0.08776716142892838,0.26872944831848145,0.6456606388092041,-0.043144796043634415,0.2146313637495041,0.5853465795516968,-0.07073139399290085,0.17815299332141876,0.542029619216919,-0.088459312915802,0.14963574707508087,0.4998059570789337,-0.09899000823497772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.31633177399635315,0.7607417106628418,3.364252165738435e-07,0.36882245540618896,0.7768754959106445,-0.01779239997267723,0.41450372338294983,0.7478718757629395,-0.020327046513557434,0.4280172288417816,0.6908077001571655,-0.020874762907624245,0.4189174473285675,0.650835394859314,-0.021360285580158234,0.4216943681240082,0.6903420090675354,-0.006139496807008982,0.4606572985649109,0.6472658514976501,-0.01576896570622921,0.4844552278518677,0.6166760921478271,-0.025029383599758148,0.5039147138595581,0.5890852808952332,-0.03179521486163139,0.4052641987800598,0.6630392074584961,-0.004456738941371441,0.4472660720348358,0.6156383752822876,-0.011968971230089664,0.47576940059661865,0.5844406485557556,-0.020627696067094803,0.49851059913635254,0.559440016746521,-0.026577161625027657,0.3848394453525543,0.6462557911872864,-0.0054894438944756985,0.42187702655792236,0.5999956727027893,-0.014178537763655186,0.44871699810028076,0.5736624002456665,-0.022423140704631805,0.4692836105823517,0.5538387894630432,-0.02742418460547924,0.3577781319618225,0.6351379156112671,-0.008299245499074459,0.38435253500938416,0.6000094413757324,-0.016230497509241104,0.4047969877719879,0.5790870189666748,-0.02007044106721878,0.4223829507827759,0.5610557794570923,-0.022290587425231934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.32513532042503357,0.7927696704864502,2.578889279902796e-07,0.3772144317626953,0.7967570424079895,-0.014815968461334705,0.42070460319519043,0.7617843151092529,-0.01695070043206215,0.4369771480560303,0.7098217606544495,-0.018488798290491104,0.4414474070072174,0.6691380143165588,-0.019812287762761116,0.4265018105506897,0.6915357708930969,-0.0025931466370821,0.4596441388130188,0.6424707174301147,-0.01339908316731453,0.4787781238555908,0.608378529548645,-0.023303113877773285,0.4945431053638458,0.5770571231842041,-0.03053130768239498,0.4089381694793701,0.6694656610488892,-0.003763705724850297,0.4463489055633545,0.6176123023033142,-0.013191812671720982,0.4711938500404358,0.5812551379203796,-0.022974325343966484,0.4905846118927002,0.5510864853858948,-0.02973167970776558,0.38740792870521545,0.6578611731529236,-0.007885928265750408,0.42217761278152466,0.6062301993370056,-0.018572235479950905,0.4451761543750763,0.575170636177063,-0.027087660506367683,0.46314698457717896,0.5504882335662842,-0.032251305878162384,0.36004483699798584,0.6539771556854248,-0.013657733798027039,0.3823658525943756,0.613135039806366,-0.024171659722924232,0.4008362293243408,0.5871366858482361,-0.029509300366044044,0.41826799511909485,0.5640562772750854,-0.032599397003650665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.17648747563362122,0.5711094737052917,4.1426432062507956e-07,0.24074670672416687,0.5930856466293335,-0.022309448570013046,0.30331113934516907,0.5491394996643066,-0.025083046406507492,0.32200634479522705,0.47734302282333374,-0.02512323670089245,0.3170042932033539,0.42139774560928345,-0.025712380185723305,0.31548547744750977,0.47108811140060425,-0.013543701730668545,0.3633919954299927,0.4089456796646118,-0.02772500365972519,0.3925878703594208,0.36408597230911255,-0.03978096321225166,0.41574934124946594,0.32475942373275757,-0.048879705369472504,0.2927837669849396,0.4395543932914734,-0.013485513627529144,0.3462275266647339,0.3710276782512665,-0.02642657421529293,0.3828829824924469,0.32514500617980957,-0.03943929448723793,0.4126800000667572,0.28784751892089844,-0.048357997089624405,0.2639341652393341,0.4216976761817932,-0.016539976000785828,0.31536227464675903,0.3543340861797333,-0.03252146765589714,0.35086116194725037,0.31529709696769714,-0.04570047929883003,0.3801591992378235,0.2833918333053589,-0.053597643971443176,0.22567813098430634,0.41164708137512207,-0.021328099071979523,0.262315571308136,0.36164242029190063,-0.03841765224933624,0.29074394702911377,0.3313562572002411,-0.047329653054475784,0.3163590729236603,0.303984671831131,-0.052371732890605927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.4172250032424927,0.7821421027183533,2.2700216106841253e-07,0.4476146399974823,0.794968843460083,-0.010141072794795036,0.4769010841846466,0.7758581042289734,-0.010830255225300789,0.48555952310562134,0.7409458160400391,-0.010477113537490368,0.4872366189956665,0.7146574854850769,-0.010428168810904026,0.48128464818000793,0.7407196164131165,-0.003992349375039339,0.5053833723068237,0.7138208150863647,-0.010950964875519276,0.522100031375885,0.6925792694091797,-0.016887765377759933,0.534915030002594,0.674644947052002,-0.021044382825493813,0.47192469239234924,0.7242213487625122,-0.003631982021033764,0.4990816116333008,0.6953861117362976,-0.009856072254478931,0.5179309248924255,0.6737786531448364,-0.016159266233444214,0.5339811444282532,0.6562614440917969,-0.02033413015305996,0.45980891585350037,0.7129967212677002,-0.004898449871689081,0.486657977104187,0.683510959148407,-0.012358641251921654,0.5048344135284424,0.6643660664558411,-0.018472129479050636,0.5198783278465271,0.6489973068237305,-0.022043732926249504,0.44302988052368164,0.7047491669654846,-0.006922220345586538,0.4622029960155487,0.6825813055038452,-0.014295067638158798,0.47632482647895813,0.6680586338043213,-0.017940416932106018,0.4890700876712799,0.6554519534111023,-0.0199265293776989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.30919092893600464,0.763282299041748,2.8669916218859726e-07,0.35451242327690125,0.7715766429901123,-0.01437112595885992,0.39284321665763855,0.7381378412246704,-0.017143551260232925,0.40492382645606995,0.6892752647399902,-0.018832484260201454,0.4082871079444885,0.651127815246582,-0.020593196153640747,0.40153005719184875,0.6874632239341736,-0.007537635508924723,0.4369939863681793,0.645911455154419,-0.018877558410167694,0.45999276638031006,0.6176743507385254,-0.027964984998106956,0.47864997386932373,0.5923458337783813,-0.03431972488760948,0.3874925971031189,0.6681047081947327,-0.00834270566701889,0.42686909437179565,0.6239712238311768,-0.018105054274201393,0.4536530673503876,0.5959149599075317,-0.026593605056405067,0.47553008794784546,0.5726971626281738,-0.032276030629873276,0.3694361448287964,0.6570777297019958,-0.011653519235551357,0.4060930609703064,0.6115390658378601,-0.022657617926597595,0.4317685663700104,0.5853936672210693,-0.030671682208776474,0.45237213373184204,0.5649477243423462,-0.035274919122457504,0.345757395029068,0.651097297668457,-0.01630832627415657,0.37166014313697815,0.6163173317909241,-0.027105063199996948,0.39211493730545044,0.5948519110679626,-0.03251691535115242,0.40982356667518616,0.5760250091552734,-0.03555212542414665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.32925787568092346,0.7234740257263184,4.048153812163946e-07,0.3879249393939972,0.7273040413856506,-0.011061658151447773,0.4341524541378021,0.7016815543174744,-0.00947821419686079,0.45304447412490845,0.6514362096786499,-0.008769459091126919,0.46136772632598877,0.6105685234069824,-0.007121433038264513,0.4426930844783783,0.656761646270752,0.017306258901953697,0.4766542613506317,0.6229339838027954,0.0115324342623353,0.49984779953956604,0.6002185344696045,0.0030234293080866337,0.5219301581382751,0.5796377062797546,-0.003335308749228716,0.43010804057121277,0.632354199886322,0.015848757699131966,0.46772301197052,0.5959242582321167,0.01121281087398529,0.4932597279548645,0.573441207408905,0.001500484417192638,0.5180177092552185,0.5554479360580444,-0.005285035818815231,0.4152567386627197,0.6136702299118042,0.010601433925330639,0.44981691241264343,0.5784209966659546,0.002631278010085225,0.47589749097824097,0.5556807518005371,-0.006279653869569302,0.5006901025772095,0.5376551151275635,-0.011363387107849121,0.394122838973999,0.5985583662986755,0.003711782628670335,0.42441487312316895,0.5678343772888184,-0.0030223645735532045,0.4457365870475769,0.5502186417579651,-0.006444713566452265,0.46735912561416626,0.5348835587501526,-0.008112085051834583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.11431809514760971,0.759697437286377,3.011675744346576e-07,0.15875689685344696,0.7650314569473267,-0.013917051255702972,0.19384588301181793,0.7304515838623047,-0.017853794619441032,0.19914637506008148,0.6800526976585388,-0.02021898329257965,0.19403496384620667,0.6445799469947815,-0.023276353254914284,0.2010802924633026,0.680940568447113,-0.014942782931029797,0.23295184969902039,0.63218092918396,-0.026990916579961777,0.25204333662986755,0.5975328087806702,-0.03618508577346802,0.2670176029205322,0.5668818950653076,-0.04251301288604736,0.18275709450244904,0.6607023477554321,-0.01624367944896221,0.21761129796504974,0.6086630821228027,-0.026532845571637154,0.2416309267282486,0.5723192095756531,-0.035532448440790176,0.2617344558238983,0.543040931224823,-0.04153420031070709,0.1607278734445572,0.6511386632919312,-0.019097087904810905,0.19277986884117126,0.6000407934188843,-0.03010762296617031,0.21578773856163025,0.5688313245773315,-0.03849586099386215,0.2348700761795044,0.5449439883232117,-0.043424591422080994,0.13285410404205322,0.6485985517501831,-0.02292678877711296,0.15466904640197754,0.6099950671195984,-0.033969052135944366,0.17243582010269165,0.5855614542961121,-0.03887264057993889,0.18837490677833557,0.5644415616989136,-0.04134057089686394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.4760100245475769,0.6323447823524475,2.358070361196951e-07,0.5286206007003784,0.6571001410484314,-0.01328770536929369,0.5771633386611938,0.6309695243835449,-0.012634914368391037,0.59882652759552,0.5801242589950562,-0.011479171924293041,0.6114600896835327,0.5416639447212219,-0.009936826303601265,0.5921023488044739,0.5805264711380005,0.002015624428167939,0.636574923992157,0.5475778579711914,-0.007199387531727552,0.6640897989273071,0.5260554552078247,-0.015557456761598587,0.6875078678131104,0.5070183277130127,-0.021768052130937576,0.5811665654182434,0.5544315576553345,0.00108775170519948,0.6307138204574585,0.5189860463142395,-0.007418796885758638,0.6628305315971375,0.4965381920337677,-0.016233371570706367,0.6900614500045776,0.47859299182891846,-0.02242375910282135,0.5656914114952087,0.5349567532539368,-0.003076734719797969,0.6123862862586975,0.4970899224281311,-0.014105015434324741,0.6435064077377319,0.47760650515556335,-0.022942382842302322,0.6684640049934387,0.4628005027770996,-0.028083592653274536,0.5440574884414673,0.5189588069915771,-0.008710279129445553,0.5784107446670532,0.4906250238418579,-0.01941286213696003,0.6032569408416748,0.47365492582321167,-0.02526998706161976,0.6249955892562866,0.4589034914970398,-0.028910644352436066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.2172185480594635,0.6982718110084534,4.544209843970748e-07,0.277383416891098,0.7108407616615295,-0.022072311490774155,0.3324620723724365,0.6694979667663574,-0.025916093960404396,0.3482089638710022,0.6042914390563965,-0.02770204097032547,0.3452613353729248,0.5526378154754639,-0.029248585924506187,0.34755271673202515,0.5992212891578674,-0.00842143502086401,0.3961178660392761,0.5461317300796509,-0.022504255175590515,0.4261798858642578,0.5085123777389526,-0.0349825881421566,0.4502115845680237,0.4743461012840271,-0.043932195752859116,0.32768821716308594,0.5708168148994446,-0.00811202172189951,0.3803919851779938,0.5139812231063843,-0.02038847841322422,0.4167008697986603,0.47583022713661194,-0.03267282620072365,0.44640079140663147,0.443847119808197,-0.04093557968735695,0.30162352323532104,0.5553861260414124,-0.011517705395817757,0.3500886559486389,0.4991282820701599,-0.02605404146015644,0.3844933807849884,0.46721604466438293,-0.03741432726383209,0.41238775849342346,0.4416598081588745,-0.04383738338947296,0.266921728849411,0.5471522212028503,-0.017023468390107155,0.30137526988983154,0.5047556757926941,-0.031673382967710495,0.3283761143684387,0.47727489471435547,-0.038890451192855835,0.35227707028388977,0.45213982462882996,-0.04272592440247536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
